date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:02	126434/126434	---MCZ	200	added ('OK')	text/html	etag:%221ede2-691d9fc9-6d5d3bc49cde67d5;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/index-2.html	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/index-2.html	(from )
17:34:04	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-38a54ccda54449fb;gz%22	https://html.aqlova.com/robots.txt		(from )
17:34:05	730/730	---M--	200	added ('OK')	image/png	etag:%222da-691d9fc8-88d49e520aae4692;;;%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/img/logo/favicon.png	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/img/logo/favicon.png	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:12	232111/232111	---M-Z	200	added ('OK')	text/css	etag:%2238aaf-691d9fc8-45f78a166eae209c;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/bootstrap.min.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:12	45049/45049	---M-Z	200	added ('OK')	text/css	etag:%22aff9-691d9fc8-35ddf46afcee0cb6;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/animate.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/animate.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:13	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-691d9fc8-75c32bdce91bfc76;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/swiper-bundle.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:14	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-691d9fc8-f9cc19a73e7d81de;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/magnific-popup.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/magnific-popup.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:15	8364/8364	---M-Z	200	added ('OK')	text/css	etag:%2220ac-691d9fc8-12c2ac60aa78caf3;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/spacing.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/spacing.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:15	465633/465633	---M-Z	200	added ('OK')	text/css	etag:%2271ae1-691d9fc8-44443d0868152b95;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/font-awesome-pro.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
17:34:16	223278/223278	---M-Z	200	added ('OK')	text/css	etag:%223682e-691d9fc8-45402c19ef82a075;gz%22	https://html.aqlova.com/kindaid-demo/kindaid/assets/css/main.css	C:/My%20Web%20Sites/kindaid/html.aqlova.com/kindaid-demo/kindaid/assets/css/main.css	(from https://html.aqlova.com/kindaid-demo/kindaid/index-2.html)
